id;bank_name;bank_address;bank_account_no;bank_account_iban;swift_code;terms
1;Soap killer;haptic;Checking;Wooden;wireless Buckinghamshire;Tools implementation product
2;matrix;Automotive digital;moratorium;Keyboard;syndicate;Swedish Berkshire
3;Pre-emptive transmit Multi-channelled;Gorgeous;target Accountability;compressing Vermont;viral;Interactions
4;Usability indigo;fuchsia Guilder Nuevo;Table Rubber Monitored;SDD capacitor;Azerbaijan payment New;Illinois and
5;connecting;Virginia Lari;Cheese reboot Borders;Table South;Shoes;Chair Brunei Buckinghamshire
6;synthesize Kansas;silver;Car Utah;Administrator Russian pixel;user-centric Salad;Handmade reboot
7;Metical;Handcrafted;Soap;overriding;payment rich;magenta Loan Sleek
8;3rd online teal;orchid synthesizing;Borders Mount TCP;Forest Persevering;microchip;Metal
9;Corporate Salvador black;South redundant Dollar;Rue Developer Open-source;incentivize Convertible;granular;Borders Home
10;seize withdrawal;Garden maximize;Loan plug-and-play connect;Assimilated rich;mobile mobile;Skyway Clothing invoice
